,经纬,latitude,longitude,"""站点名地铁站名"","
153,31.281247 121.482429 '赤峰路地铁站',121.482429,31.281247,赤峰路地铁站
154,31.259886 121.480202 '东宝兴路地铁站',121.480202,31.259886,东宝兴路地铁站
155,31.271392 121.479154 '虹口足球场地铁站',121.479154,31.271392,虹口足球场地铁站
156,31.197524 121.420814 '虹桥路地铁站',121.420814,31.197524,虹桥路地铁站
157,31.305566 121.485064 '江湾镇地铁站',121.485064,31.305566,江湾镇地铁站
158,31.407858 121.439819 '江杨北路地铁站',121.439819,31.407858,江杨北路地铁站
159,31.232147 121.413201 '金沙江路地铁站',121.413201,31.232147,金沙江路地铁站
160,31.169458 121.444383 '龙漕路地铁站',121.444383,31.169458,龙漕路地铁站
161,31.249632 121.457939 '上海火车站地铁站',121.457939,31.249632,上海火车站地铁站
162,31.157949 121.443205 '石龙路地铁站',121.443205,31.157949,石龙路地铁站
163,31.154579 121.430041 '上海南站地铁站',121.430041,31.154579,上海南站地铁站
164,31.370928 121.492818 '淞浜路地铁站',121.492818,31.370928,淞浜路地铁站
165,31.381302 121.488247 '水产路地铁站',121.488247,31.381302,水产路地铁站
166,31.345135 121.50039 '淞发路地铁站',121.50039,31.345135,淞发路地铁站
167,31.40812 121.461139 '铁力路地铁站',121.461139,31.40812,铁力路地铁站
168,31.209616 121.417062 '延安西路地铁站',121.417062,31.209616,延安西路地铁站
169,31.320005 121.484856 '殷高西路地铁站',121.484856,31.320005,殷高西路地铁站
170,31.186717 121.427194 '宜山路地铁站',121.427194,31.186717,宜山路地铁站
171,31.404016 121.475924 '友谊路地铁站',121.475924,31.404016,友谊路地铁站
172,31.358016 121.498671 '张华浜地铁站',121.498671,31.358016,张华浜地铁站
173,31.332062 121.491482 '长江南路地铁站',121.491482,31.332062,长江南路地铁站
174,31.246369 121.429779 '镇坪路地铁站',121.429779,31.246369,镇坪路地铁站
175,31.254568 121.441001 '中潭路地铁站',121.441001,31.254568,中潭路地铁站
176,31.194057 121.463278 '大木桥路地铁站',121.463278,31.194057,大木桥路地铁站
177,31.257938 121.513088 '大连路地铁站',121.513088,31.257938,大连路地铁站
178,31.217948 121.415773 '中山公园地铁站',121.415773,31.217948,中山公园地铁站
179,31.190819 121.454897 '东安路地铁站',121.454897,31.190819,东安路地铁站
180,31.259303 121.488697 '海伦路地铁站',121.488697,31.259303,海伦路地铁站
181,31.211672 121.527627 '蓝村路地铁站',121.527627,31.211672,蓝村路地铁站
182,31.208504 121.499725 '南浦大桥地铁站',121.499725,31.208504,南浦大桥地铁站
183,31.199221 121.475148 '鲁班路地铁站',121.475148,31.199221,鲁班路地铁站
184,31.260874 121.500696 '临平路地铁站',121.500696,31.260874,临平路地铁站
185,31.222285 121.53208 '浦电路地铁站',121.53208,31.222285,浦电路地铁站
186,31.240308 121.519302 '浦东大道地铁站',121.519302,31.240308,浦东大道地铁站
187,31.228682 121.527213 '世纪大道地铁站',121.527213,31.228682,世纪大道地铁站
188,31.209762 121.51869 '塘桥地铁站',121.51869,31.209762,塘桥地铁站
189,31.185605 121.443529 '上海体育场地铁站',121.443529,31.185605,上海体育场地铁站
190,31.182813 121.437423 '上海体育馆地铁站',121.437423,31.182813,上海体育馆地铁站
191,31.251935 121.51721 '杨树浦路地铁站',121.51721,31.251935,杨树浦路地铁站
192,31.186717 121.427194 '宜山路地铁站',121.427194,31.186717,宜山路地铁站
193,31.007467 121.395255 '华宁路地铁站',121.395255,31.007467,华宁路地铁站
194,31.09825 121.385818 '春申路地铁站',121.385818,31.09825,春申路地铁站
195,31.018197 121.419901 '东川路地铁站',121.419901,31.018197,东川路地铁站
196,31.026483 121.416582 '剑川路地铁站',121.416582,31.026483,剑川路地铁站
197,31.045112 121.410054 '北桥地铁站',121.410054,31.045112,北桥地铁站
198,31.011282 121.410186 '金平路地铁站',121.410186,31.011282,金平路地铁站
199,31.000627 121.369712 '闵行开发区地铁站',121.369712,31.000627,闵行开发区地铁站
200,31.003597 121.380775 '文井路地铁站',121.380775,31.003597,文井路地铁站
201,31.089345 121.390264 '银都路地铁站',121.390264,31.089345,银都路地铁站
202,31.067013 121.401868 '颛桥地铁站',121.401868,31.067013,颛桥地铁站
203,31.239145 121.552314 '北洋泾路地铁站',121.552314,31.239145,北洋泾路地铁站
204,31.26352 121.586689 '博兴路地铁站',121.586689,31.26352,博兴路地铁站
205,31.153366 121.480304 '东方体育中心地铁站',121.480304,31.153366,东方体育中心地铁站
206,31.2454 121.564237 '德平路地铁站',121.564237,31.2454,德平路地铁站
207,31.290684 121.588736 '东靖路地铁站',121.588736,31.290684,东靖路地铁站
208,31.172646 121.510868 '东明路地铁站',121.510868,31.172646,东明路地铁站
209,31.353223 121.575017 '港城路地铁站',121.575017,31.353223,港城路地铁站
210,31.185761 121.509845 '高科西路地铁站',121.509845,31.185761,高科西路地铁站
211,31.335371 121.593974 '航津路地铁站',121.593974,31.335371,航津路地铁站
212,31.159907 121.515787 '高青路地铁站',121.515787,31.159907,高青路地铁站
213,31.149878 121.514539 '华夏西路地铁站',121.514539,31.149878,华夏西路地铁站
214,31.280684 121.588365 '巨峰路地铁站',121.588365,31.280684,巨峰路地铁站
215,31.257084 121.581817 '金桥路地铁站',121.581817,31.257084,金桥路地铁站
216,31.211672 121.527627 '蓝村路地铁站',121.527627,31.211672,蓝村路地铁站
217,31.193202 121.516695 '临沂新村地铁站',121.516695,31.193202,临沂新村地铁站
218,31.148665 121.495295 '灵岩南路地铁站',121.495295,31.148665,灵岩南路地铁站
219,31.235851 121.543527 '民生路地铁站',121.543527,31.235851,民生路地铁站
220,31.222285 121.53208 '浦电路地铁站',121.53208,31.222285,浦电路地铁站
221,31.203277 121.523482 '上海儿童医学中心地铁站',121.523482,31.203277,上海儿童医学中心地铁站
222,31.347802 121.586926 '外高桥保税区北地铁站',121.586926,31.347802,外高桥保税区北地铁站
223,31.321578 121.601963 '外高桥保税区南地铁站',121.601963,31.321578,外高桥保税区南地铁站
224,31.14882 121.506447 '上南路地铁站',121.506447,31.14882,上南路地铁站
225,31.272025 121.587866 '五莲路地铁站',121.587866,31.272025,五莲路地铁站
226,31.302569 121.589212 '五洲大道地铁站',121.589212,31.302569,五洲大道地铁站
227,31.233004 121.534642 '源深体育中心地铁站',121.534642,31.233004,源深体育中心地铁站
228,31.312229 121.589396 '洲海路地铁站',121.589396,31.312229,洲海路地铁站
